Outer fold,baseline_test_error,logistic_test_error,lambda,KNN_test_error,k-parameter
1,0.34408602150537637,0.2903225806451613,1e-16,0.3548387096774194,4.0
2,0.34408602150537637,0.26881720430107525,1e-16,0.34408602150537637,1.0
3,0.34408602150537637,0.24731182795698925,1e-16,0.25806451612903225,6.0
4,0.34408602150537637,0.25806451612903225,1e-16,0.3118279569892473,7.0
5,0.34408602150537637,0.26881720430107525,1e-16,0.3655913978494624,9.0
6,0.34408602150537637,0.26881720430107525,1e-16,0.34408602150537637,8.0
7,0.34408602150537637,0.26881720430107525,1e-16,0.3010752688172043,8.0
8,0.34408602150537637,0.2903225806451613,1e-16,0.3333333333333333,1.0
9,0.34408602150537637,0.27956989247311825,1e-16,0.34408602150537637,10.0
10,0.34408602150537637,0.3118279569892473,1e-16,0.3763440860215054,9.0
